# File: Kalt_2017_elec_cap_gw_ctry.csv
# Title: Kalt et al. 2021 electricity generation capacity in 2017
# Units: GW
# Description: Bottom-up estimate of electricity generation capacity by country in 2017. Source data has historical years 1980-2017
# Source: SI spreadsheet in Kalt et al. 2021 Data in Brief https://doi.org/10.1016/j.dib.2021.107351
# Column types: cccn
# ----------
Technology,Country,Kalt_reg,2017
Geothermal,Iran,Middle East and Northern Africa ,0
Geothermal,Iraq,Middle East and Northern Africa ,0
Geothermal,Ireland,Industrial (Old World),0
Geothermal,Israel,Middle East and Northern Africa ,0
Geothermal,Italy,Industrial (Old World),0.77
Geothermal,Jamaica,Latin America and the Caribbean,0
Geothermal,Japan,Industrial (Old World),0.53
Geothermal,Jordan,Middle East and Northern Africa ,0
Geothermal,Kazakhstan,Former Soviet Union,0
Geothermal,Kenya,Sub-Saharan Africa,0.65
Geothermal,Kuwait,Middle East and Northern Africa ,0
Geothermal,Kyrgyzstan,Former Soviet Union,0
Geothermal,Laos,Rest of Asia,0
Geothermal,Latvia,Former Soviet Union,0
Geothermal,Lebanon,Middle East and Northern Africa ,0
Geothermal,Lesotho,Sub-Saharan Africa,0
Geothermal,Liberia,Sub-Saharan Africa,0
Geothermal,Libya,Middle East and Northern Africa ,0
Geothermal,Lithuania,Former Soviet Union,0
Geothermal,Luxembourg,Industrial (Old World),0
Geothermal,"Macedonia, FYR",Industrial (Old World),0
Geothermal,Madagascar,Sub-Saharan Africa,0
Geothermal,Malawi,Sub-Saharan Africa,0
Geothermal,Malaysia,Rest of Asia,0
Geothermal,Maldives,Rest of Asia,0
Geothermal,Mali,Sub-Saharan Africa,0
Geothermal,Malta,Industrial (Old World),0
Geothermal,Martinique,Latin America and the Caribbean,0
Geothermal,Mauritania,Sub-Saharan Africa,0
Geothermal,Mauritius,Sub-Saharan Africa,0
Geothermal,Mexico,Latin America and the Caribbean,0.93
Geothermal,Moldova,Former Soviet Union,0
Geothermal,Mongolia,Rest of Asia,0
Geothermal,Montenegro,Industrial (Old World),0
Geothermal,Morocco,Middle East and Northern Africa ,0
Geothermal,Mozambique,Sub-Saharan Africa,0
Geothermal,Myanmar,Rest of Asia,0
Geothermal,Namibia,Sub-Saharan Africa,0
Geothermal,Nepal,Rest of Asia,0
Geothermal,Netherlands,Industrial (Old World),0
Geothermal,New Zealand,Industrial (New World),0.94
Geothermal,Nicaragua,Latin America and the Caribbean,0.15
Geothermal,Niger,Sub-Saharan Africa,0
Geothermal,Nigeria,Sub-Saharan Africa,0
Geothermal,North Korea,Rest of Asia,0
Geothermal,Norway,Industrial (Old World),0
Geothermal,Oman,Middle East and Northern Africa ,0
Geothermal,Pakistan,Rest of Asia,0
Geothermal,Panama,Latin America and the Caribbean,0
Geothermal,Papua New Guinea,Rest of Asia,0.06
Geothermal,Paraguay,Latin America and the Caribbean,0
Geothermal,Peru,Latin America and the Caribbean,0
Geothermal,Philippines,Rest of Asia,1.92
Geothermal,Poland,Industrial (Old World),0
Geothermal,Portugal,Industrial (Old World),0.03
Geothermal,Puerto Rico,Latin America and the Caribbean,0
Geothermal,Qatar,Middle East and Northern Africa ,0
Geothermal,Réunion,Sub-Saharan Africa,0
Geothermal,Romania,Industrial (Old World),0
Geothermal,Russia,Former Soviet Union,0.08
Geothermal,Rwanda,Sub-Saharan Africa,0
Geothermal,Saudi Arabia,Middle East and Northern Africa ,0
Geothermal,Senegal,Sub-Saharan Africa,0
Geothermal,Serbia (incl. Kosovo),Industrial (Old World),0
Geothermal,Sierra Leone,Sub-Saharan Africa,0
Geothermal,Singapore,Rest of Asia,0
Geothermal,Slovakia,Industrial (Old World),0
Geothermal,Slovenia,Industrial (Old World),0
Geothermal,Solomon Islands,Rest of Asia,0
Geothermal,Somalia,Sub-Saharan Africa,0
Geothermal,South Africa,Sub-Saharan Africa,0
Geothermal,South Korea,Industrial (Old World),0
Geothermal,South Sudan,Sub-Saharan Africa,0
Geothermal,Spain,Industrial (Old World),0
Geothermal,Sri Lanka,Rest of Asia,0
Geothermal,Sudan,Sub-Saharan Africa,0
Geothermal,Suriname,Latin America and the Caribbean,0
Geothermal,Swaziland,Sub-Saharan Africa,0
Geothermal,Sweden,Industrial (Old World),0
Geothermal,Switzerland,Industrial (Old World),0
Geothermal,Syria,Middle East and Northern Africa ,0
Geothermal,Taiwan,Rest of Asia,0
Geothermal,Tajikistan,Former Soviet Union,0
Geothermal,Tanzania,Sub-Saharan Africa,0
Geothermal,Thailand,Rest of Asia,0
Geothermal,The Gambia,Sub-Saharan Africa,0
Geothermal,Timor-Leste,Rest of Asia,0
Geothermal,Togo,Sub-Saharan Africa,0
Geothermal,Trinidad and Tobago,Latin America and the Caribbean,0
Geothermal,Tunisia,Middle East and Northern Africa ,0
Geothermal,Turkey,Industrial (Old World),1.06
Geothermal,Turkmenistan,Former Soviet Union,0
Geothermal,Uganda,Sub-Saharan Africa,0
Geothermal,Ukraine,Former Soviet Union,0
Geothermal,United Arab Emirates,Middle East and Northern Africa ,0
Geothermal,United Kingdom,Industrial (Old World),0
Geothermal,United States of America,Industrial (New World),2.48
Geothermal,Uruguay,Latin America and the Caribbean,0
Geothermal,USSR (former),Former Soviet Union,
Geothermal,Uzbekistan,Former Soviet Union,0
Geothermal,Venezuela,Latin America and the Caribbean,0
Geothermal,Vietnam,Rest of Asia,0
Geothermal,Yemen,Middle East and Northern Africa ,0
Geothermal,Zambia,Sub-Saharan Africa,0
Geothermal,Zimbabwe,Sub-Saharan Africa,0
Wind Onshore,Afghanistan,Rest of Asia,0
Wind Onshore,Albania,Industrial (Old World),0
Wind Onshore,Algeria,Middle East and Northern Africa ,0.01
Wind Onshore,Angola,Sub-Saharan Africa,0
Wind Onshore,Argentina,Latin America and the Caribbean,0.26
Wind Onshore,Armenia,Former Soviet Union,0
Wind Onshore,Australia,Industrial (New World),4.56
Wind Onshore,Austria,Industrial (Old World),2.93
Wind Onshore,Azerbaijan,Former Soviet Union,0.06
Wind Onshore,Bahamas,Latin America and the Caribbean,0
Wind Onshore,Bahrain,Middle East and Northern Africa ,0
Wind Onshore,Bangladesh,Rest of Asia,0
Wind Onshore,Belarus,Former Soviet Union,0.08
Wind Onshore,Belgium,Industrial (Old World),1.96
Wind Onshore,Belize,Latin America and the Caribbean,0
Wind Onshore,Benin,Sub-Saharan Africa,0
Wind Onshore,Bhutan,Rest of Asia,0
Wind Onshore,Bolivia,Latin America and the Caribbean,0.03
Wind Onshore,Bosnia and Herzegovina,Industrial (Old World),0
Wind Onshore,Botswana,Sub-Saharan Africa,0
Wind Onshore,Brazil,Latin America and the Caribbean,12.29
Wind Onshore,Brunei,Rest of Asia,0
Wind Onshore,Bulgaria,Industrial (Old World),0.7
Wind Onshore,Burkina Faso,Sub-Saharan Africa,0
Wind Onshore,Burundi,Sub-Saharan Africa,0
Wind Onshore,Cambodia,Rest of Asia,0
Wind Onshore,Cameroon,Sub-Saharan Africa,0
Wind Onshore,Canada,Industrial (New World),12.31
Wind Onshore,Cape Verde,Sub-Saharan Africa,0.03
Wind Onshore,Central African Republic,Sub-Saharan Africa,0
Wind Onshore,Chad,Sub-Saharan Africa,0
Wind Onshore,Chile,Latin America and the Caribbean,1.42
Wind Onshore,China,China,161.42
Wind Onshore,Colombia,Latin America and the Caribbean,0.02
Wind Onshore,Comoros,Sub-Saharan Africa,0
Wind Onshore,Congo,Sub-Saharan Africa,0
Wind Onshore,"Congo, DR",Sub-Saharan Africa,0
Wind Onshore,Costa Rica,Latin America and the Caribbean,0.38
Wind Onshore,Côte d'Ivoire,Sub-Saharan Africa,0
Wind Onshore,Croatia,Industrial (Old World),0.54
Wind Onshore,Cuba,Latin America and the Caribbean,0.01
Wind Onshore,Cyprus,Industrial (Old World),0.16
Wind Onshore,Czech Republic,Industrial (Old World),0.31
Wind Onshore,Denmark,Industrial (Old World),4.23
Wind Onshore,Djibouti,Middle East and Northern Africa ,0
Wind Onshore,Dominican Republic,Latin America and the Caribbean,0.14
Wind Onshore,Ecuador,Latin America and the Caribbean,0.02
Wind Onshore,Egypt,Middle East and Northern Africa ,0.75
Wind Onshore,El Salvador,Latin America and the Caribbean,0
Wind Onshore,Equatorial Guinea,Sub-Saharan Africa,0
Wind Onshore,Eritrea,Sub-Saharan Africa,0
Wind Onshore,Estonia,Former Soviet Union,0.31
Wind Onshore,Ethiopia,Sub-Saharan Africa,0.32
Wind Onshore,Fiji,Rest of Asia,0.01
Wind Onshore,Finland,Industrial (Old World),1.9
Wind Onshore,France,Industrial (Old World),13.11
Wind Onshore,Gabon,Sub-Saharan Africa,0
Wind Onshore,Georgia,Former Soviet Union,0.02
Wind Onshore,Germany,Industrial (Old World),50.47
Wind Onshore,Ghana,Sub-Saharan Africa,0
Wind Onshore,Greece,Industrial (Old World),2.65
Wind Onshore,Guadeloupe,Latin America and the Caribbean,0.03
Wind Onshore,Guatemala,Latin America and the Caribbean,0.08
Wind Onshore,Guinea,Sub-Saharan Africa,0
Wind Onshore,Guinea Bissau,Sub-Saharan Africa,0
Wind Onshore,Guyana,Latin America and the Caribbean,0
Wind Onshore,Haiti,Latin America and the Caribbean,0
Wind Onshore,Honduras,Latin America and the Caribbean,0.23
Wind Onshore,Hong Kong SAR,Rest of Asia,0
Wind Onshore,Hungary,Industrial (Old World),0.33
Wind Onshore,Iceland,Industrial (Old World),0
Wind Onshore,India,India,32.85
Wind Onshore,Indonesia,Rest of Asia,0
Wind Onshore,Iran,Middle East and Northern Africa ,0.19
Wind Onshore,Iraq,Middle East and Northern Africa ,0
Wind Onshore,Ireland,Industrial (Old World),3.23
Wind Onshore,Israel,Middle East and Northern Africa ,0.03
Wind Onshore,Italy,Industrial (Old World),9.64
Wind Onshore,Jamaica,Latin America and the Caribbean,0.1
Wind Onshore,Japan,Industrial (Old World),3.36
Wind Onshore,Jordan,Middle East and Northern Africa ,0.2
Wind Onshore,Kazakhstan,Former Soviet Union,0.11
Wind Onshore,Kenya,Sub-Saharan Africa,0.03
Wind Onshore,Kuwait,Middle East and Northern Africa ,0.01
Wind Onshore,Kyrgyzstan,Former Soviet Union,0
Wind Onshore,Laos,Rest of Asia,0
Wind Onshore,Latvia,Former Soviet Union,0.08
Wind Onshore,Lebanon,Middle East and Northern Africa ,0
Wind Onshore,Lesotho,Sub-Saharan Africa,0
Wind Onshore,Liberia,Sub-Saharan Africa,0
Wind Onshore,Libya,Middle East and Northern Africa ,0
Wind Onshore,Lithuania,Former Soviet Union,0.51
Wind Onshore,Luxembourg,Industrial (Old World),0.12
Wind Onshore,"Macedonia, FYR",Industrial (Old World),0.04
Wind Onshore,Madagascar,Sub-Saharan Africa,0
Wind Onshore,Malawi,Sub-Saharan Africa,0
Wind Onshore,Malaysia,Rest of Asia,0
Wind Onshore,Maldives,Rest of Asia,0
Wind Onshore,Mali,Sub-Saharan Africa,0
Wind Onshore,Malta,Industrial (Old World),0
Wind Onshore,Martinique,Latin America and the Caribbean,0
Wind Onshore,Mauritania,Sub-Saharan Africa,0.03
Wind Onshore,Mauritius,Sub-Saharan Africa,0.01
Wind Onshore,Mexico,Latin America and the Caribbean,4.05
Wind Onshore,Moldova,Former Soviet Union,0
Wind Onshore,Mongolia,Rest of Asia,0.1
Wind Onshore,Montenegro,Industrial (Old World),0.07
Wind Onshore,Morocco,Middle East and Northern Africa ,1.02
Wind Onshore,Mozambique,Sub-Saharan Africa,0
Wind Onshore,Myanmar,Rest of Asia,0
Wind Onshore,Namibia,Sub-Saharan Africa,0.01
Wind Onshore,Nepal,Rest of Asia,0
Wind Onshore,Netherlands,Industrial (Old World),3.31
Wind Onshore,New Zealand,Industrial (New World),0.69
Wind Onshore,Nicaragua,Latin America and the Caribbean,0.19
Wind Onshore,Niger,Sub-Saharan Africa,0
Wind Onshore,Nigeria,Sub-Saharan Africa,0
Wind Onshore,North Korea,Rest of Asia,0
Wind Onshore,Norway,Industrial (Old World),1.2
Wind Onshore,Oman,Middle East and Northern Africa ,0
Wind Onshore,Pakistan,Rest of Asia,0.79
Wind Onshore,Panama,Latin America and the Caribbean,0.27
Wind Onshore,Papua New Guinea,Rest of Asia,0
Wind Onshore,Paraguay,Latin America and the Caribbean,0
Wind Onshore,Peru,Latin America and the Caribbean,0.24
Wind Onshore,Philippines,Rest of Asia,0.43
Wind Onshore,Poland,Industrial (Old World),5.8
Wind Onshore,Portugal,Industrial (Old World),5.12
Wind Onshore,Puerto Rico,Latin America and the Caribbean,0.1
Wind Onshore,Qatar,Middle East and Northern Africa ,0
Wind Onshore,Réunion,Sub-Saharan Africa,0.02
Wind Onshore,Romania,Industrial (Old World),3.03
Wind Onshore,Russia,Former Soviet Union,0.01
Wind Onshore,Rwanda,Sub-Saharan Africa,0
Wind Onshore,Saudi Arabia,Middle East and Northern Africa ,0
Wind Onshore,Senegal,Sub-Saharan Africa,0
Wind Onshore,Serbia (incl. Kosovo),Industrial (Old World),0.03
Wind Onshore,Sierra Leone,Sub-Saharan Africa,0
Wind Onshore,Singapore,Rest of Asia,0
Wind Onshore,Slovakia,Industrial (Old World),0
Wind Onshore,Slovenia,Industrial (Old World),0.01
Wind Onshore,Solomon Islands,Rest of Asia,0
Wind Onshore,Somalia,Sub-Saharan Africa,0
Wind Onshore,South Africa,Sub-Saharan Africa,2.09
Wind Onshore,South Korea,Industrial (Old World),1.17
Wind Onshore,South Sudan,Sub-Saharan Africa,0
Wind Onshore,Spain,Industrial (Old World),22.98
Wind Onshore,Sri Lanka,Rest of Asia,0.15
Wind Onshore,Sudan,Sub-Saharan Africa,0
Wind Onshore,Suriname,Latin America and the Caribbean,0
Wind Onshore,Swaziland,Sub-Saharan Africa,0
Wind Onshore,Sweden,Industrial (Old World),6.43
Wind Onshore,Switzerland,Industrial (Old World),0.08
Wind Onshore,Syria,Middle East and Northern Africa ,0
Wind Onshore,Taiwan,Rest of Asia,0.68
Wind Onshore,Tajikistan,Former Soviet Union,0
Wind Onshore,Tanzania,Sub-Saharan Africa,0
Wind Onshore,Thailand,Rest of Asia,0.63
Wind Onshore,The Gambia,Sub-Saharan Africa,0
Wind Onshore,Timor-Leste,Rest of Asia,0
Wind Onshore,Togo,Sub-Saharan Africa,0
Wind Onshore,Trinidad and Tobago,Latin America and the Caribbean,0
Wind Onshore,Tunisia,Middle East and Northern Africa ,0.25
Wind Onshore,Turkey,Industrial (Old World),6.52
Wind Onshore,Turkmenistan,Former Soviet Union,0
Wind Onshore,Uganda,Sub-Saharan Africa,0
Wind Onshore,Ukraine,Former Soviet Union,0.55
Wind Onshore,United Arab Emirates,Middle East and Northern Africa ,0
Wind Onshore,United Kingdom,Industrial (Old World),12.86
Wind Onshore,United States of America,Industrial (New World),87.51
Wind Onshore,Uruguay,Latin America and the Caribbean,1.51
Wind Onshore,USSR (former),Former Soviet Union,
Wind Onshore,Uzbekistan,Former Soviet Union,0
Wind Onshore,Venezuela,Latin America and the Caribbean,0.05
Wind Onshore,Vietnam,Rest of Asia,0.11
Wind Onshore,Yemen,Middle East and Northern Africa ,0
Wind Onshore,Zambia,Sub-Saharan Africa,0
Wind Onshore,Zimbabwe,Sub-Saharan Africa,0
Wind Offshore,Afghanistan,Rest of Asia,0
Wind Offshore,Albania,Industrial (Old World),0
Wind Offshore,Algeria,Middle East and Northern Africa ,0
Wind Offshore,Angola,Sub-Saharan Africa,0
Wind Offshore,Argentina,Latin America and the Caribbean,0
Wind Offshore,Armenia,Former Soviet Union,0
Wind Offshore,Australia,Industrial (New World),0
Wind Offshore,Austria,Industrial (Old World),0
Wind Offshore,Azerbaijan,Former Soviet Union,0
Wind Offshore,Bahamas,Latin America and the Caribbean,0
Wind Offshore,Bahrain,Middle East and Northern Africa ,0
Wind Offshore,Bangladesh,Rest of Asia,0
Wind Offshore,Belarus,Former Soviet Union,0
Wind Offshore,Belgium,Industrial (Old World),0.88
Wind Offshore,Belize,Latin America and the Caribbean,0
Wind Offshore,Benin,Sub-Saharan Africa,0
Wind Offshore,Bhutan,Rest of Asia,0
Wind Offshore,Bolivia,Latin America and the Caribbean,0
Wind Offshore,Bosnia and Herzegovina,Industrial (Old World),0
Wind Offshore,Botswana,Sub-Saharan Africa,0
Wind Offshore,Brazil,Latin America and the Caribbean,0
Wind Offshore,Brunei,Rest of Asia,0
Wind Offshore,Bulgaria,Industrial (Old World),0
Wind Offshore,Burkina Faso,Sub-Saharan Africa,0
Wind Offshore,Burundi,Sub-Saharan Africa,0
Wind Offshore,Cambodia,Rest of Asia,0
Wind Offshore,Cameroon,Sub-Saharan Africa,0
Wind Offshore,Canada,Industrial (New World),0
Wind Offshore,Cape Verde,Sub-Saharan Africa,0
Wind Offshore,Central African Republic,Sub-Saharan Africa,0
Wind Offshore,Chad,Sub-Saharan Africa,0
Wind Offshore,Chile,Latin America and the Caribbean,0
Wind Offshore,China,China,2.64
Wind Offshore,Colombia,Latin America and the Caribbean,0
Wind Offshore,Comoros,Sub-Saharan Africa,0
Wind Offshore,Congo,Sub-Saharan Africa,0
Wind Offshore,"Congo, DR",Sub-Saharan Africa,0
Wind Offshore,Costa Rica,Latin America and the Caribbean,0
Wind Offshore,Côte d'Ivoire,Sub-Saharan Africa,0
Wind Offshore,Croatia,Industrial (Old World),0
Wind Offshore,Cuba,Latin America and the Caribbean,0
Wind Offshore,Cyprus,Industrial (Old World),0
Wind Offshore,Czech Republic,Industrial (Old World),0
Wind Offshore,Denmark,Industrial (Old World),1.29
Wind Offshore,Djibouti,Middle East and Northern Africa ,0
Wind Offshore,Dominican Republic,Latin America and the Caribbean,0
Wind Offshore,Ecuador,Latin America and the Caribbean,0
Wind Offshore,Egypt,Middle East and Northern Africa ,0
Wind Offshore,El Salvador,Latin America and the Caribbean,0
Wind Offshore,Equatorial Guinea,Sub-Saharan Africa,0
Wind Offshore,Eritrea,Sub-Saharan Africa,0
Wind Offshore,Estonia,Former Soviet Union,0
Wind Offshore,Ethiopia,Sub-Saharan Africa,0
Wind Offshore,Fiji,Rest of Asia,0
Wind Offshore,Finland,Industrial (Old World),0.09
Wind Offshore,France,Industrial (Old World),0
Wind Offshore,Gabon,Sub-Saharan Africa,0
Wind Offshore,Georgia,Former Soviet Union,0
Wind Offshore,Germany,Industrial (Old World),5.41
Wind Offshore,Ghana,Sub-Saharan Africa,0
Wind Offshore,Greece,Industrial (Old World),0
Wind Offshore,Guadeloupe,Latin America and the Caribbean,0
Wind Offshore,Guatemala,Latin America and the Caribbean,0
Wind Offshore,Guinea,Sub-Saharan Africa,0
Wind Offshore,Guinea Bissau,Sub-Saharan Africa,0
Wind Offshore,Guyana,Latin America and the Caribbean,0
Wind Offshore,Haiti,Latin America and the Caribbean,0
Wind Offshore,Honduras,Latin America and the Caribbean,0
Wind Offshore,Hong Kong SAR,Rest of Asia,0
Wind Offshore,Hungary,Industrial (Old World),0
Wind Offshore,Iceland,Industrial (Old World),0
Wind Offshore,India,India,0
Wind Offshore,Indonesia,Rest of Asia,0
Wind Offshore,Iran,Middle East and Northern Africa ,0
Wind Offshore,Iraq,Middle East and Northern Africa ,0
Wind Offshore,Ireland,Industrial (Old World),0.03
Wind Offshore,Israel,Middle East and Northern Africa ,0
Wind Offshore,Italy,Industrial (Old World),0
Wind Offshore,Jamaica,Latin America and the Caribbean,0
Wind Offshore,Japan,Industrial (Old World),0.07
Wind Offshore,Jordan,Middle East and Northern Africa ,0
Wind Offshore,Kazakhstan,Former Soviet Union,0
Wind Offshore,Kenya,Sub-Saharan Africa,0
Wind Offshore,Kuwait,Middle East and Northern Africa ,0
Wind Offshore,Kyrgyzstan,Former Soviet Union,0
Wind Offshore,Laos,Rest of Asia,0
Wind Offshore,Latvia,Former Soviet Union,0
Wind Offshore,Lebanon,Middle East and Northern Africa ,0
Wind Offshore,Lesotho,Sub-Saharan Africa,0
Wind Offshore,Liberia,Sub-Saharan Africa,0
Wind Offshore,Libya,Middle East and Northern Africa ,0
Wind Offshore,Lithuania,Former Soviet Union,0
Wind Offshore,Luxembourg,Industrial (Old World),0
Wind Offshore,"Macedonia, FYR",Industrial (Old World),0
Wind Offshore,Madagascar,Sub-Saharan Africa,0
Wind Offshore,Malawi,Sub-Saharan Africa,0
Wind Offshore,Malaysia,Rest of Asia,0
Wind Offshore,Maldives,Rest of Asia,0
Wind Offshore,Mali,Sub-Saharan Africa,0
Wind Offshore,Malta,Industrial (Old World),0
Wind Offshore,Martinique,Latin America and the Caribbean,0
Wind Offshore,Mauritania,Sub-Saharan Africa,0
Wind Offshore,Mauritius,Sub-Saharan Africa,0
Wind Offshore,Mexico,Latin America and the Caribbean,0
Wind Offshore,Moldova,Former Soviet Union,0
Wind Offshore,Mongolia,Rest of Asia,0
Wind Offshore,Montenegro,Industrial (Old World),0
Wind Offshore,Morocco,Middle East and Northern Africa ,0
Wind Offshore,Mozambique,Sub-Saharan Africa,0
Wind Offshore,Myanmar,Rest of Asia,0
Wind Offshore,Namibia,Sub-Saharan Africa,0
Wind Offshore,Nepal,Rest of Asia,0
Wind Offshore,Netherlands,Industrial (Old World),0.96
Wind Offshore,New Zealand,Industrial (New World),0
Wind Offshore,Nicaragua,Latin America and the Caribbean,0
Wind Offshore,Niger,Sub-Saharan Africa,0
Wind Offshore,Nigeria,Sub-Saharan Africa,0
Wind Offshore,North Korea,Rest of Asia,0
Wind Offshore,Norway,Industrial (Old World),0
Wind Offshore,Oman,Middle East and Northern Africa ,0
Wind Offshore,Pakistan,Rest of Asia,0
Wind Offshore,Panama,Latin America and the Caribbean,0
Wind Offshore,Papua New Guinea,Rest of Asia,0
Wind Offshore,Paraguay,Latin America and the Caribbean,0
Wind Offshore,Peru,Latin America and the Caribbean,0
Wind Offshore,Philippines,Rest of Asia,0
Wind Offshore,Poland,Industrial (Old World),0
Wind Offshore,Portugal,Industrial (Old World),0
Wind Offshore,Puerto Rico,Latin America and the Caribbean,0
Wind Offshore,Qatar,Middle East and Northern Africa ,0
Wind Offshore,Réunion,Sub-Saharan Africa,0
Wind Offshore,Romania,Industrial (Old World),0
Wind Offshore,Russia,Former Soviet Union,0
Wind Offshore,Rwanda,Sub-Saharan Africa,0
Wind Offshore,Saudi Arabia,Middle East and Northern Africa ,0
Wind Offshore,Senegal,Sub-Saharan Africa,0
Wind Offshore,Serbia (incl. Kosovo),Industrial (Old World),0
Wind Offshore,Sierra Leone,Sub-Saharan Africa,0
Wind Offshore,Singapore,Rest of Asia,0
Wind Offshore,Slovakia,Industrial (Old World),0
Wind Offshore,Slovenia,Industrial (Old World),0
Wind Offshore,Solomon Islands,Rest of Asia,0
Wind Offshore,Somalia,Sub-Saharan Africa,0
Wind Offshore,South Africa,Sub-Saharan Africa,0
Wind Offshore,South Korea,Industrial (Old World),0.05
Wind Offshore,South Sudan,Sub-Saharan Africa,0
Wind Offshore,Spain,Industrial (Old World),0.01
Wind Offshore,Sri Lanka,Rest of Asia,0
Wind Offshore,Sudan,Sub-Saharan Africa,0
Wind Offshore,Suriname,Latin America and the Caribbean,0
Wind Offshore,Swaziland,Sub-Saharan Africa,0
Wind Offshore,Sweden,Industrial (Old World),0.2
Wind Offshore,Switzerland,Industrial (Old World),0
Wind Offshore,Syria,Middle East and Northern Africa ,0
Wind Offshore,Taiwan,Rest of Asia,0.01
Wind Offshore,Tajikistan,Former Soviet Union,0
Wind Offshore,Tanzania,Sub-Saharan Africa,0
Wind Offshore,Thailand,Rest of Asia,0
Wind Offshore,The Gambia,Sub-Saharan Africa,0
Wind Offshore,Timor-Leste,Rest of Asia,0
Wind Offshore,Togo,Sub-Saharan Africa,0
Wind Offshore,Trinidad and Tobago,Latin America and the Caribbean,0
Wind Offshore,Tunisia,Middle East and Northern Africa ,0
Wind Offshore,Turkey,Industrial (Old World),0
Wind Offshore,Turkmenistan,Former Soviet Union,0
Wind Offshore,Uganda,Sub-Saharan Africa,0
Wind Offshore,Ukraine,Former Soviet Union,0
Wind Offshore,United Arab Emirates,Middle East and Northern Africa ,0
Wind Offshore,United Kingdom,Industrial (Old World),6.98
Wind Offshore,United States of America,Industrial (New World),0.03
Wind Offshore,Uruguay,Latin America and the Caribbean,0
Wind Offshore,USSR (former),Former Soviet Union,
Wind Offshore,Uzbekistan,Former Soviet Union,0
Wind Offshore,Venezuela,Latin America and the Caribbean,0
Wind Offshore,Vietnam,Rest of Asia,0.1
Wind Offshore,Yemen,Middle East and Northern Africa ,0
Wind Offshore,Zambia,Sub-Saharan Africa,0
Wind Offshore,Zimbabwe,Sub-Saharan Africa,0
Coal,Afghanistan,Rest of Asia,0
Coal,Albania,Industrial (Old World),0
Coal,Algeria,Middle East and Northern Africa ,0
Coal,Angola,Sub-Saharan Africa,0
Coal,Argentina,Latin America and the Caribbean,1.09
Coal,Armenia,Former Soviet Union,0
Coal,Australia,Industrial (New World),26.67
Coal,Austria,Industrial (Old World),0.68
Coal,Azerbaijan,Former Soviet Union,0
Coal,Bahamas,Latin America and the Caribbean,0
Coal,Bahrain,Middle East and Northern Africa ,0
Coal,Bangladesh,Rest of Asia,0.25
Coal,Belarus,Former Soviet Union,0
Coal,Belgium,Industrial (Old World),0.57
Coal,Belize,Latin America and the Caribbean,0
Coal,Benin,Sub-Saharan Africa,0
Coal,Bhutan,Rest of Asia,
Coal,Bolivia,Latin America and the Caribbean,0
Coal,Bosnia and Herzegovina,Industrial (Old World),2.07
Coal,Botswana,Sub-Saharan Africa,0.57
Coal,Brazil,Latin America and the Caribbean,5.39
Coal,Brunei,Rest of Asia,0
Coal,Bulgaria,Industrial (Old World),3.33
Coal,Burkina Faso,Sub-Saharan Africa,0
Coal,Burundi,Sub-Saharan Africa,0
Coal,Cambodia,Rest of Asia,0.39
Coal,Cameroon,Sub-Saharan Africa,0
Coal,Canada,Industrial (New World),10.04
Coal,Cape Verde,Sub-Saharan Africa,0
Coal,Central African Republic,Sub-Saharan Africa,
Coal,Chad,Sub-Saharan Africa,0
Coal,Chile,Latin America and the Caribbean,7.44
Coal,China,China,"1,024.60"
Coal,Colombia,Latin America and the Caribbean,0.48
Coal,Comoros,Sub-Saharan Africa,
Coal,Congo,Sub-Saharan Africa,0
Coal,"Congo, DR",Sub-Saharan Africa,
Coal,Costa Rica,Latin America and the Caribbean,0
Coal,Côte d'Ivoire,Sub-Saharan Africa,0
Coal,Croatia,Industrial (Old World),0.34
Coal,Cuba,Latin America and the Caribbean,0
Coal,Cyprus,Industrial (Old World),0
Coal,Czech Republic,Industrial (Old World),10.41
Coal,Denmark,Industrial (Old World),3.03
Coal,Djibouti,Middle East and Northern Africa ,0
Coal,Dominican Republic,Latin America and the Caribbean,0.09
Coal,Ecuador,Latin America and the Caribbean,0
Coal,Egypt,Middle East and Northern Africa ,0
Coal,El Salvador,Latin America and the Caribbean,0
Coal,Equatorial Guinea,Sub-Saharan Africa,0
Coal,Eritrea,Sub-Saharan Africa,0
Coal,Estonia,Former Soviet Union,0
Coal,Ethiopia,Sub-Saharan Africa,0
Coal,Fiji,Rest of Asia,0
Coal,Finland,Industrial (Old World),3.38
Coal,France,Industrial (Old World),4.34
Coal,Gabon,Sub-Saharan Africa,0
Coal,Georgia,Former Soviet Union,0
Coal,Germany,Industrial (Old World),54.55
Coal,Ghana,Sub-Saharan Africa,0
Coal,Greece,Industrial (Old World),3.63
Coal,Guadeloupe,Latin America and the Caribbean,0
Coal,Guatemala,Latin America and the Caribbean,0.5
Coal,Guinea,Sub-Saharan Africa,0
Coal,Guinea Bissau,Sub-Saharan Africa,
Coal,Guyana,Latin America and the Caribbean,0
Coal,Haiti,Latin America and the Caribbean,0
Coal,Honduras,Latin America and the Caribbean,0.01
Coal,Hong Kong SAR,Rest of Asia,6.82
Coal,Hungary,Industrial (Old World),1.08
Coal,Iceland,Industrial (Old World),0
Coal,India,India,247.13
Coal,Indonesia,Rest of Asia,29.39
